Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2023 WT),2023-Nov-14 11:10 ± < 00:01,5600016,5563615,13.36,13.35,24.4,34 m -   77 m,0
(2023 UO),2023-Nov-15 00:21 ± < 00:01,2461483,2460437,6.8,6.78,25,26 m -   59 m,0
(2023 XN),2023-Nov-15 03:03 ± < 00:01,6783043,6782997,13.88,13.87,23.6,51 m -  110 m,0
(2023 VL6),2023-Nov-15 09:38 ± < 00:01,3358312,3350845,5.06,5.04,26.6,12 m -   28 m,0
(2023 WC),2023-Nov-15 21:48 ± < 00:01,4606962,4591179,9.1,9.09,25.1,26 m -   57 m,0
(2021 TN3),2023-Nov-15 22:03 ± < 00:01,6526580,6526429,6.26,6.25,25.3,24 m -   53 m,0
(2023 XE3),2023-Nov-16 00:15 ± < 00:01,2162462,2162047,2.54,2.47,27.5,8.3 m -   19 m,0
(2019 VL5),2023-Nov-16 01:20 ± < 00:01,3269993,3269944,8.22,8.21,25.9,18 m -   40 m,0
(2023 WA),2023-Nov-17 03:41 ± < 00:01,27379,27366,17.95,17.12,28.5,5.3 m -   12 m,2
(2023 WU),2023-Nov-17 05:33 ± < 00:01,745095,744427,9.17,9.12,27.2,9.8 m -   22 m,0
(2023 VG5),2023-Nov-17 06:11 ± < 00:01,2199649,2187429,23.29,23.28,25.7,19 m -   43 m,0
(2023 VX4),2023-Nov-17 06:24 ± < 00:01,2694550,2684433,3.94,3.91,27.6,8.2 m -   18 m,0
(2023 VX7),2023-Nov-17 06:32 ± < 00:01,957405,956108,10.82,10.78,27,10 m -   23 m,0
(2023 VK4),2023-Nov-17 14:32 ± < 00:01,4703316,4673506,11.86,11.85,25.8,18 m -   41 m,0
(2023 VR9),2023-Nov-17 15:33 ± < 00:01,1249828,1248316,7.74,7.7,27.6,7.9 m -   18 m,0
(2023 VW7),2023-Nov-17 23:19 ± < 00:01,2806758,2800411,10.07,10.05,26.4,14 m -   31 m,0
(2023 XC10),2023-Nov-18 02:36 ±    00:21,6434090,6343409,10.51,10.5,24.6,31 m -   70 m,0
(2023 WB),2023-Nov-18 11:49 ± < 00:01,667054,666602,12.6,12.56,26.5,13 m -   29 m,0
(2019 LB1),2023-Nov-18 18:40 ±    06:19,6033062,6012450,4.16,4.15,27,11 m -   24 m,0
(2023 WA2),2023-Nov-18 21:48 ± < 00:01,1513325,1509899,12.98,12.96,25,26 m -   59 m,1
(2016 DK1),2023-Nov-19 06:11 ± 9_17:29,2022611,1946051,6.75,6.72,27.5,8.4 m -   19 m,0
(2023 WY1),2023-Nov-19 08:52 ± < 00:01,677147,676606,8.24,8.17,27.7,7.5 m -   17 m,0
(2021 WB2),2023-Nov-19 09:44 ± < 00:01,4217898,4217788,16.25,16.25,24.6,32 m -   72 m,0
(2023 WE2),2023-Nov-19 10:07 ± < 00:01,242747,242320,7.26,7.03,27,10 m -   23 m,1
(2023 VT7),2023-Nov-19 16:57 ± < 00:01,5740365,5720838,10.6,10.59,24.1,41 m -   92 m,0
(2022 VR1),2023-Nov-19 18:09 ± < 00:01,3106432,3106419,6.08,6.06,24.8,29 m -   65 m,0
(2023 VB10),2023-Nov-19 21:35 ±    00:01,5429230,5375156,11.37,11.37,26.3,15 m -   33 m,0
(2023 WC2),2023-Nov-19 23:37 ± < 00:01,3296338,3281420,6.74,6.73,25.1,25 m -   56 m,0
(2023 WF2),2023-Nov-20 04:41 ±    00:04,994012,988858,8.03,7.98,27.5,8.4 m -   19 m,0
(2023 VE7),2023-Nov-20 05:19 ± < 00:01,5385607,5345025,19.67,19.67,24.7,30 m -   68 m,0
(2023 VE4),2023-Nov-20 17:44 ± < 00:01,5085078,5041455,11.62,11.61,24.9,28 m -   63 m,0
(2023 WZ1),2023-Nov-20 20:24 ± < 00:01,157393,157234,16.52,16.37,28.9,4.3 m -  9.7 m,0
(2023 WQ2),2023-Nov-20 23:18 ±    00:04,6829557,6795614,13,12.99,24.6,32 m -   71 m,0
(2023 VW5),2023-Nov-21 02:15 ± < 00:01,1701447,1698456,11.18,11.16,25.4,22 m -   48 m,0
(2023 WG2),2023-Nov-21 03:58 ± < 00:01,772018,767992,22.96,22.94,26.8,12 m -   26 m,0
(2023 WW2),2023-Nov-21 08:30 ± < 00:01,6544957,6486906,13.6,13.59,24.8,29 m -   65 m,0
(2023 WV),2023-Nov-22 15:12 ± < 00:01,878578,877348,14.05,14.02,26.8,11 m -   26 m,0
(2023 WJ1),2023-Nov-22 16:45 ± < 00:01,4496927,4482358,4.93,4.91,26.3,15 m -   33 m,0
(2023 VC7),2023-Nov-23 07:47 ± < 00:01,4072495,4059235,8.13,8.12,25.9,18 m -   40 m,0
(2023 VH6),2023-Nov-23 11:49 ± < 00:01,2621661,2621504,7.33,7.31,25.6,20 m -   45 m,0
(2019 UT6),2023-Nov-24 07:46 ± < 00:01,3462468,3462454,13.2,13.2,21.9,110 m -  250 m,1
(2023 XN14),2023-Nov-24 07:50 ±    00:04,6738018,6724518,9.74,9.73,23.6,50 m -  110 m,0
(2023 XV10),2023-Nov-24 23:38 ±    00:17,5052534,4963880,6.78,6.77,25.4,22 m -   49 m,0
(2019 CZ2),2023-Nov-25 18:30 ± < 00:01,1057055,1057043,5.84,5.77,24.6,32 m -   71 m,1
(2023 VH5),2023-Nov-25 19:56 ±    00:02,6866288,6753680,9.04,9.03,25.2,25 m -   55 m,0
(2023 XP5),2023-Nov-25 21:53 ±    00:03,6650243,6588318,10.52,10.52,25.7,20 m -   44 m,0
(2023 WN2),2023-Nov-26 04:26 ± < 00:01,2832129,2811112,14.88,14.87,23.3,57 m -  130 m,1
(2023 WT2),2023-Nov-26 04:47 ± < 00:01,824731,822106,13.55,13.52,27.8,7.4 m -   17 m,0
(2023 XD2),2023-Nov-26 12:19 ± < 00:01,5696980,5674077,10.87,10.86,25.3,24 m -   53 m,0
(2023 VM1),2023-Nov-26 15:04 ±    00:01,4164212,4129247,8.85,8.84,24.6,32 m -   71 m,0
(2023 XT20),2023-Nov-26 18:37 ± < 00:01,4711657,4687475,16.57,16.56,25.6,20 m -   45 m,0
(2023 XQ),2023-Nov-27 18:13 ± < 00:01,2803972,2794070,10.8,10.79,25.3,23 m -   52 m,0
(2013 UB3),2023-Nov-27 23:22 ± < 00:01,7090414,7090069,5.41,5.4,25.8,18 m -   41 m,0
(2023 XK3),2023-Nov-28 00:48 ±    00:05,1131935,1125719,18.03,18.01,27,10 m -   23 m,0
(2023 XM2),2023-Nov-28 06:48 ± < 00:01,1227699,1223348,6.46,6.41,26.7,12 m -   28 m,0
(2023 WE1),2023-Nov-28 09:11 ±    00:10,2979109,2964307,13.04,13.03,26.7,12 m -   27 m,0
(2023 XN1),2023-Nov-28 09:30 ±    00:02,4392784,4327902,12.28,12.27,26.4,14 m -   31 m,0
(2023 XW1),2023-Nov-28 11:44 ±    00:01,2108369,2103165,5.42,5.39,27.5,8.4 m -   19 m,0
(2023 XG3),2023-Nov-28 19:52 ±    00:05,2219015,2211255,18.47,18.46,25.4,22 m -   49 m,0
(2023 VR5),2023-Nov-28 21:21 ±    00:01,2037206,2029308,3.03,2.96,27.7,7.7 m -   17 m,0
(2023 XQ2),2023-Nov-29 01:36 ± < 00:01,3756925,3711067,8.7,8.69,25.8,19 m -   42 m,0
(2023 XG),2023-Nov-29 04:33 ± < 00:01,3983408,3975865,5.19,5.17,26.1,16 m -   36 m,0
(2023 XF3),2023-Nov-29 08:57 ± < 00:01,5544563,5524182,9.27,9.26,26.4,14 m -   32 m,0
(2023 XA3),2023-Nov-29 09:29 ±    00:02,2300330,2293122,7.24,7.21,27.3,9.1 m -   20 m,0
(2023 VY8),2023-Nov-29 18:55 ± < 00:01,6528580,6431462,19.95,19.95,25.1,25 m -   57 m,0
(2023 XR4),2023-Nov-29 22:51 ± < 00:01,3450587,3427787,8.56,8.55,27,11 m -   24 m,0
(2023 XG4),2023-Nov-30 03:31 ±    00:06,175493,174949,8.82,8.55,27.9,7.1 m -   16 m,1
(2023 XA1),2023-Nov-30 03:39 ± < 00:01,4098081,4075042,11.02,11.01,24.1,40 m -   90 m,0
(2023 XF6),2023-Nov-30 04:19 ± < 00:01,7424155,7337081,10.84,10.83,25.5,21 m -   47 m,0
(2023 XC4),2023-Nov-30 07:26 ±    00:01,3749830,3730403,14.94,14.93,25.2,24 m -   54 m,0
(2023 WC1),2023-Nov-30 08:51 ± < 00:01,2160054,2152405,7.77,7.75,26.5,13 m -   30 m,0
(2020 XN2),2023-Nov-30 13:16 ± < 00:01,6003655,6003591,13.79,13.78,23.4,56 m -  130 m,0
(2023 XJ7),2023-Nov-30 23:17 ±    00:01,3442369,3424118,7.29,7.27,27.4,9.0 m -   20 m,0
(2023 XS12),2023-Dec-01 01:01 ±    00:42,1012019,970446,8.44,8.39,25.9,18 m -   39 m,0
(2023 XB1),2023-Dec-01 03:07 ± < 00:01,5319389,5315006,15.17,15.16,22.5,85 m -  190 m,1
(2023 WD3),2023-Dec-01 05:31 ± < 00:01,3071872,3033792,14.09,14.08,25.1,25 m -   56 m,0
(2023 VM7),2023-Dec-01 09:10 ±    00:02,2456929,2444747,3.2,3.15,27.6,8.1 m -   18 m,0
(2023 XE),2023-Dec-01 11:40 ± < 00:01,4995371,4970622,7.34,7.33,26.4,14 m -   31 m,0
(2023 XU2),2023-Dec-01 19:24 ±    00:01,4393310,4375290,15.88,15.88,25.2,24 m -   53 m,0
(2023 XG1),2023-Dec-02 13:00 ±    00:02,1556262,1535232,13.81,13.8,24,43 m -   96 m,1
(2023 XM1),2023-Dec-02 16:06 ± < 00:01,3081335,3075757,14.23,14.22,24.5,34 m -   76 m,0
(2023 XJ),2023-Dec-02 19:20 ± < 00:01,105643,105503,15.73,15.49,28.7,4.9 m -   11 m,1
(2023 XU),2023-Dec-02 20:15 ±    00:03,477104,476043,11.66,11.59,29.6,3.2 m -  7.2 m,0
(2023 XD12),2023-Dec-03 06:46 ± < 00:01,7274501,7213443,8.58,8.57,24.9,28 m -   62 m,0
(2023 XO3),2023-Dec-03 09:26 ± < 00:01,522968,522758,5.76,5.62,27.5,8.3 m -   19 m,0
(2023 XL1),2023-Dec-03 18:03 ± < 00:01,4019423,4004002,6.19,6.17,26.5,13 m -   30 m,0
(2023 XW9),2023-Dec-03 20:45 ±    00:38,2721784,2702901,15.67,15.66,26.2,16 m -   35 m,0
(2023 XL2),2023-Dec-03 23:54 ± < 00:01,110908,110745,7.82,7.35,30.2,2.5 m -  5.5 m,0
(2023 XA),2023-Dec-04 05:00 ± < 00:01,2043463,2041211,6.74,6.71,26.2,15 m -   34 m,0
(2023 XX2),2023-Dec-04 11:25 ±    00:17,575295,571092,19.42,19.38,27.1,10 m -   22 m,0
(2023 XG7),2023-Dec-04 11:26 ± < 00:01,5018073,4996417,4.5,4.48,26.8,11 m -   26 m,0
(2023 XP),2023-Dec-04 11:54 ±    00:08,5643820,5592450,8.14,8.13,26.1,16 m -   36 m,0
(2023 XB),2023-Dec-04 13:30 ± < 00:01,415283,413989,14.42,14.36,28.8,4.5 m -   10 m,0
(2013 VX4),2023-Dec-04 16:37 ± < 00:01,1957594,1957585,6.58,6.55,23.8,46 m -  100 m,1
(2023 XR1),2023-Dec-05 02:13 ± < 00:01,3726166,3695253,12.82,12.81,26,17 m -   37 m,0
(2023 XJ2),2023-Dec-05 02:40 ± < 00:01,781598,781541,6.12,6.04,24.3,37 m -   82 m,2
(2023 XW10),2023-Dec-05 09:54 ± < 00:01,2771510,2748163,24.24,24.23,25.5,21 m -   47 m,0
(2023 WW),2023-Dec-05 12:23 ±    00:02,2975121,2927643,8.52,8.5,24.7,30 m -   68 m,0
(2023 XD1),2023-Dec-05 18:23 ±    00:01,4990959,4977446,7.65,7.64,27.2,9.7 m -   22 m,0
(2023 XZ),2023-Dec-05 18:28 ± < 00:01,1301089,1296702,8.68,8.65,28.4,5.4 m -   12 m,0
(2023 XT10),2023-Dec-05 22:36 ±    00:10,1567850,1552366,5.17,5.12,28.1,6.4 m -   14 m,0
(2023 XK2),2023-Dec-06 01:05 ±    00:02,3596976,3581147,5.86,5.84,26.8,12 m -   26 m,0
(2023 TB27),2023-Dec-06 02:29 ± < 00:01,6519940,6519556,4.25,4.24,24.6,31 m -   70 m,0
(2023 XK),2023-Dec-06 04:38 ± < 00:01,6400807,6380449,8.91,8.9,25.2,24 m -   54 m,0
(2023 XL),2023-Dec-06 10:09 ± < 00:01,6171019,6123504,8.01,8,25.6,20 m -   45 m,0
(2023 YJ),2023-Dec-06 12:09 ±    00:04,2309127,2292327,2.64,2.58,27.9,7.1 m -   16 m,0
(2023 XC1),2023-Dec-06 12:39 ± < 00:01,2284600,2277406,9.05,9.03,26.5,13 m -   30 m,0
(2023 XK1),2023-Dec-06 13:10 ± < 00:01,2294450,2290483,7.46,7.43,26.6,13 m -   29 m,0
(2023 XF1),2023-Dec-06 14:22 ± < 00:01,1958380,1952232,11.18,11.16,26.7,12 m -   27 m,0
(2023 XU10),2023-Dec-06 18:55 ± < 00:01,2423144,2408495,6.39,6.37,27.7,7.8 m -   17 m,0
(2023 XJ1),2023-Dec-06 18:57 ± < 00:01,98205,98119,20.04,19.84,27.6,7.9 m -   18 m,1
139622 (2001 QQ142),2023-Dec-06 21:00 ± < 00:01,5526859,5526847,6.66,6.65,18.5,540 m -  1.2 km,2
(2023 XD),2023-Dec-07 01:01 ± < 00:01,733401,730839,9.94,9.88,26.9,11 m -   25 m,0
(2023 XT),2023-Dec-07 04:16 ± < 00:01,821315,820290,8.44,8.38,28.7,4.8 m -   11 m,0
(2023 XS10),2023-Dec-07 06:43 ±    00:02,1135493,1131731,12.73,12.7,25.8,19 m -   42 m,0
(2023 XG2),2023-Dec-07 08:44 ± < 00:01,590949,590263,4.29,4.13,29.5,3.4 m -  7.6 m,0
(2023 XQ12),2023-Dec-07 16:15 ±    00:03,6602999,6424008,19.63,19.63,24.8,29 m -   64 m,0
(2023 XY),2023-Dec-07 17:41 ±    00:03,5509245,5491760,8.28,8.27,26.3,15 m -   33 m,0
(2023 XS17),2023-Dec-07 21:04 ±    00:02,2559972,2551481,5.79,5.77,25,27 m -   61 m,0
(2023 XH),2023-Dec-07 22:28 ± < 00:01,1523679,1521230,6.21,6.17,26.7,12 m -   27 m,0
(2023 XQ1),2023-Dec-07 23:22 ±    00:01,990547,987738,11.86,11.83,27.4,8.9 m -   20 m,0
(2023 XE2),2023-Dec-08 06:37 ±    00:01,5074713,5060264,5.87,5.86,26.5,13 m -   30 m,0
(2023 VF12),2023-Dec-08 07:39 ± < 00:01,4959680,4954724,4.13,4.11,26.1,16 m -   37 m,0
(2023 XQ10),2023-Dec-08 16:46 ±    00:18,222851,221502,10.6,10.43,26.4,14 m -   31 m,1
(2023 XU5),2023-Dec-08 17:36 ± < 00:01,370845,370582,8.61,8.48,27.2,9.7 m -   22 m,0
(2023 XD3),2023-Dec-08 18:45 ± < 00:01,794452,793634,5.25,5.15,27,10 m -   23 m,0
(2023 WG),2023-Dec-08 19:04 ± < 00:01,6720922,6705698,6.58,6.57,25.1,25 m -   56 m,0
(2023 XR),2023-Dec-08 21:41 ± < 00:01,5373832,5227589,15.64,15.63,25.8,19 m -   42 m,0
(2023 XT3),2023-Dec-08 22:04 ± < 00:01,810745,809316,14.89,14.86,27.8,7.4 m -   17 m,0
(2023 XC),2023-Dec-08 23:23 ± < 00:01,805808,803747,5.84,5.75,28.5,5.4 m -   12 m,0
(2023 XW5),2023-Dec-09 02:10 ± < 00:01,74186,74140,5.92,4.93,28.7,4.9 m -   11 m,1
(2023 XS3),2023-Dec-09 03:49 ± < 00:01,4559123,4544524,6.24,6.23,26.1,16 m -   35 m,0
(2023 XB4),2023-Dec-09 06:13 ± < 00:01,296661,296367,10.07,9.94,28.2,6.1 m -   14 m,0
(2023 XW2),2023-Dec-09 14:08 ± < 00:01,2491771,2484770,9.56,9.55,27.3,9.3 m -   21 m,0
(2023 XP2),2023-Dec-10 05:05 ±    00:02,2238901,2226509,10.25,10.24,26.4,14 m -   31 m,0
(2023 WH),2023-Dec-10 06:36 ± < 00:01,4547359,4519847,8.94,8.93,24.8,29 m -   65 m,0
(2020 HX3),2023-Dec-10 09:29 ±    09:47,3763385,2320428,15.73,15.72,27.2,9.7 m -   22 m,0
(2023 XL13),2023-Dec-10 13:51 ±    00:04,7197301,7141495,10.84,10.83,25.7,19 m -   42 m,0
(2023 XM15),2023-Dec-10 16:30 ± < 00:01,5265625,5225288,6.58,6.57,24.2,38 m -   86 m,0
(2023 XH3),2023-Dec-10 20:29 ± < 00:01,1753902,1749433,15.1,15.08,27,10 m -   23 m,0
(2023 XT4),2023-Dec-10 22:08 ± < 00:01,1702559,1700465,8.93,8.91,26.8,11 m -   26 m,0
(2023 XR16),2023-Dec-10 22:45 ± < 00:01,4058889,4044797,5.44,5.42,26.8,12 m -   27 m,0
(2023 XC13),2023-Dec-11 00:19 ±    00:04,1276343,1267775,25.63,25.62,26.8,12 m -   26 m,0
(2023 XZ13),2023-Dec-11 01:23 ±    00:03,880182,875276,8.69,8.64,28.4,5.5 m -   12 m,0
(2023 XP1),2023-Dec-11 04:12 ±    00:02,5808185,5631282,9.58,9.57,24.8,30 m -   66 m,0
(2023 XH2),2023-Dec-11 14:29 ± < 00:01,1908410,1904274,10.05,10.03,26.3,14 m -   32 m,0
(2010 XF3),2023-Dec-11 17:11 ± < 00:01,7429443,7429353,3.97,3.96,24.4,34 m -   77 m,0
(2023 XN3),2023-Dec-12 00:50 ± < 00:01,5264624,5217479,8.37,8.36,26.8,12 m -   26 m,0
(2023 WO3),2023-Dec-12 06:55 ± < 00:01,3560531,3546998,9.29,9.28,24.7,31 m -   68 m,0
(2023 YC),2023-Dec-12 08:30 ± < 00:01,4657505,4612252,14.32,14.31,23.9,44 m -   99 m,0
(2023 XO14),2023-Dec-12 10:30 ± < 00:01,991301,990103,3.58,3.46,29.2,3.9 m -  8.8 m,0
(2023 XZ2),2023-Dec-12 10:46 ± < 00:01,1284077,1281602,6.7,6.65,27.7,7.8 m -   17 m,0
(2023 XO1),2023-Dec-12 21:10 ± < 00:01,1655609,1652113,7.21,7.18,27.1,10 m -   23 m,0
(2023 XR14),2023-Dec-13 00:49 ± < 00:01,455571,454946,10.32,10.23,28.3,5.7 m -   13 m,0
(2023 XH7),2023-Dec-13 03:13 ±    00:02,940148,937943,19.8,19.78,27.6,8.0 m -   18 m,0
(2023 XQ16),2023-Dec-13 14:35 ± < 00:01,126364,126268,3.16,1.92,30.6,2.0 m -  4.6 m,0
(2023 YG),2023-Dec-13 17:27 ± < 00:01,3081715,3067561,9.33,9.32,27,11 m -   24 m,0
(2023 YA),2023-Dec-14 02:29 ± < 00:01,1574248,1572054,10.06,10.04,25,27 m -   61 m,1
(2023 XU4),2023-Dec-14 17:27 ± < 00:01,1511125,1508978,6.19,6.15,27.4,8.9 m -   20 m,0
(2023 XB12),2023-Dec-14 21:21 ± < 00:01,5011536,4997308,4.88,4.86,25.9,17 m -   39 m,0
(2023 XO10),2023-Dec-14 22:58 ± < 00:01,4015201,3947403,16.45,16.45,26.5,13 m -   29 m,0
(2023 XB3),2023-Dec-14 23:54 ±    00:13,5310322,5283535,9.95,9.94,26.9,11 m -   25 m,0
(2023 XN15),2023-Dec-15 00:18 ± < 00:01,721703,719990,19.52,19.49,26.7,12 m -   27 m,0
(2023 XZ11),2023-Dec-15 03:12 ± < 00:01,1404980,1395893,14.7,14.68,25.2,24 m -   54 m,1
(2023 WV23),2023-Dec-15 05:09 ± < 00:01,1988450,1982297,6.62,6.58,23.7,49 m -  110 m,1
(2023 XL4),2023-Dec-15 08:07 ± < 00:01,4383207,4358704,6.55,6.54,26.1,16 m -   36 m,0
(2023 XK10),2023-Dec-15 08:41 ± < 00:01,6762968,6730319,13.57,13.56,24.7,31 m -   69 m,0
(2023 XY2),2023-Dec-15 14:02 ± < 00:01,3696772,3684143,13.38,13.37,25.1,26 m -   58 m,0
(2023 XU12),2023-Dec-15 14:32 ± < 00:01,4856018,4834656,4.73,4.71,27.1,10 m -   22 m,0
(2023 XK4),2023-Dec-15 18:24 ± < 00:01,1309925,1308462,4.25,4.18,27,11 m -   24 m,0
(2023 XG18),2023-Dec-15 18:27 ± < 00:01,799305,797338,13.97,13.93,28.4,5.6 m -   12 m,0
(2023 XV2),2023-Dec-15 23:18 ± < 00:01,6087850,6067114,6.51,6.5,26,17 m -   38 m,0
(2023 XS14),2023-Dec-15 23:50 ± < 00:01,3060675,3051946,14.82,14.81,25.8,18 m -   41 m,0
(2023 XJ13),2023-Dec-16 03:00 ±    00:02,3726853,3683619,9.23,9.22,27,11 m -   24 m,0
(2024 AV),2023-Dec-16 23:41 ±    00:03,3271363,3263285,3.33,3.29,26.5,13 m -   29 m,0
(2023 XJ10),2023-Dec-17 04:06 ± < 00:01,3196749,3186315,16.08,16.07,25.5,21 m -   47 m,0
(2023 XL14),2023-Dec-17 05:51 ± < 00:01,571219,571074,6.34,6.23,27.9,7.0 m -   16 m,0
(2023 XH1),2023-Dec-17 13:07 ± < 00:01,5831333,5812618,5.43,5.42,26.7,12 m -   28 m,0
(2023 YY),2023-Dec-17 16:03 ± < 00:01,5625115,5605796,6.68,6.67,24.8,30 m -   67 m,0
(2023 XA14),2023-Dec-17 21:04 ±    00:03,4094734,4071686,5.36,5.34,27.3,9.1 m -   20 m,0
(2024 BH2),2023-Dec-18 03:19 ±    01:53,2971800,2939199,8.61,8.59,24.3,37 m -   82 m,0
(2023 XL11),2023-Dec-18 12:11 ± < 00:01,2367197,2360577,11.68,11.66,26.7,12 m -   28 m,0
(2023 YA1),2023-Dec-18 16:31 ± < 00:01,1482244,1479824,6.06,6.01,28.2,6.1 m -   14 m,0
(2023 YS),2023-Dec-19 04:42 ± < 00:01,2032465,2027962,31.49,31.49,25.6,21 m -   46 m,0
(2023 XF2),2023-Dec-19 15:11 ± < 00:01,3736040,3723554,7.98,7.97,26.1,16 m -   35 m,0
(2016 XD2),2023-Dec-19 17:40 ± < 00:01,7187325,7187215,6.85,6.85,24,41 m -   92 m,0
(2023 YO),2023-Dec-19 18:47 ± < 00:01,1774907,1771145,4.33,4.27,28.6,5.2 m -   12 m,0
(2023 XS),2023-Dec-19 23:36 ± < 00:01,4390091,4382271,9.06,9.05,25.4,22 m -   50 m,0
(2024 AH),2023-Dec-21 07:38 ±    00:05,3593674,3574100,12.12,12.11,23.7,48 m -  110 m,0
(2023 YB),2023-Dec-21 08:27 ± < 00:01,3372910,3365810,11.16,11.15,25.6,21 m -   46 m,0
(2018 YJ2),2023-Dec-21 10:59 ± < 00:01,7027909,7027881,13.06,13.05,21.7,120 m -  270 m,1
(2024 AN),2023-Dec-22 04:07 ±    00:02,2784822,2771616,8.47,8.45,26.5,13 m -   30 m,0
(2024 AM1),2023-Dec-22 22:26 ±    00:06,4148955,4104439,19.9,19.89,24.5,33 m -   75 m,0
(2022 YG),2023-Dec-22 23:10 ± < 00:01,4280046,4279001,5.13,5.11,26.7,12 m -   27 m,0
(2023 VD6),2023-Dec-23 01:26 ± < 00:01,4067680,4067493,15.47,15.46,21.6,130 m -  280 m,1
(2023 YP),2023-Dec-23 02:19 ±    00:03,356680,355830,7.74,7.59,28,6.7 m -   15 m,0
(2020 YO3),2023-Dec-23 02:44 ± < 00:01,215222,215215,16.45,16.34,24.7,30 m -   67 m,2
(2023 XN10),2023-Dec-23 15:22 ± < 00:01,7035659,7028263,9.88,9.87,23.8,46 m -  100 m,0
(2023 XD18),2023-Dec-23 18:55 ± < 00:01,1481490,1477981,11.01,10.99,26.6,12 m -   28 m,0
(2023 XN11),2023-Dec-24 00:34 ±    00:02,3550125,3484835,10.41,10.4,24.7,31 m -   69 m,0
(2010 UE51),2023-Dec-24 13:44 ± < 00:01,3430750,3430734,1.31,1.22,28.5,5.4 m -   12 m,0
(2023 XP13),2023-Dec-24 15:10 ± < 00:01,4544111,4505307,18.71,18.71,25.6,21 m -   46 m,0
(2023 YT),2023-Dec-25 00:02 ± < 00:01,2343521,2339020,4.43,4.39,26.2,15 m -   34 m,0
(2023 XK16),2023-Dec-25 07:28 ±    00:07,3336856,3294862,7.41,7.4,24.9,28 m -   63 m,0
(2020 YR2),2023-Dec-25 12:16 ± 1_02:07,5283716,3855532,8.03,8.02,28.3,5.8 m -   13 m,0
(2023 XJ3),2023-Dec-25 13:40 ± < 00:01,6310350,6303856,9.21,9.21,24.1,39 m -   88 m,0
(2020 KT4),2023-Dec-25 19:59 ± < 00:01,5119124,5119075,7.28,7.27,23.2,60 m -  130 m,0
(2024 AE),2023-Dec-26 03:06 ± < 00:01,5108981,5078956,12.66,12.66,25.1,25 m -   57 m,0
(2024 BP),2023-Dec-26 07:10 ±    01:23,6987151,6933450,1.7,1.66,26.4,14 m -   30 m,0
(2024 AJ),2023-Dec-26 12:08 ±    00:01,3189917,3161226,7.32,7.3,27.3,9.2 m -   21 m,0
(2023 XO7),2023-Dec-26 13:28 ±    00:02,2412847,2405108,6.72,6.69,25.9,17 m -   39 m,0
(2024 AG),2023-Dec-27 12:59 ±    00:07,2781056,2735485,14.72,14.71,26,17 m -   38 m,0
(2023 YD),2023-Dec-28 21:38 ± < 00:01,605226,604122,9.94,9.87,25.6,20 m -   45 m,1
(2023 YC2),2023-Dec-28 22:53 ±    00:03,538061,533813,14.57,14.51,27.2,9.5 m -   21 m,0
(2023 YZ),2023-Dec-29 12:55 ± < 00:01,3815731,3810590,5.61,5.6,25.7,19 m -   42 m,0
(2023 YM),2023-Dec-30 01:18 ±    00:04,3885097,3863558,12.36,12.35,24.9,28 m -   62 m,0
(2024 AL3),2023-Dec-30 02:23 ± < 00:01,6465182,6463637,11.41,11.4,23.7,48 m -  110 m,0
(2024 AE1),2023-Dec-30 05:33 ± < 00:01,1933378,1932383,3.5,3.44,27.2,9.5 m -   21 m,0
(2024 DN),2023-Dec-30 15:49 ± 3_15:28,4986610,4482113,4.17,4.15,25.4,22 m -   50 m,0
(2024 AB),2023-Dec-31 00:21 ±    00:01,655214,654367,8.18,8.1,27.5,8.4 m -   19 m,0
(2024 AL),2023-Dec-31 08:07 ±    00:04,357800,357289,12.56,12.48,27.7,7.7 m -   17 m,0
(2024 AM2),2023-Dec-31 14:23 ±    00:03,2480160,2467101,17.41,17.4,24.9,28 m -   62 m,0
(2024 AQ3),2023-Dec-31 14:30 ±    00:01,3698183,3683279,4.65,4.63,26.4,14 m -   31 m,0
(2023 XE12),2023-Dec-31 15:32 ±    00:14,5625272,5557534,11.77,11.77,24.6,32 m -   71 m,0
(2021 AM6),2023-Dec-31 17:26 ±    10:03,7004002,5777948,6.65,6.64,26.6,13 m -   28 m,0
(2024 AV2),2024-Jan-01 02:47 ±    00:01,1452237,1452026,8.06,8.03,26.6,13 m -   28 m,0
(2023 YR1),2024-Jan-01 02:48 ± < 00:01,2484569,2477520,13.3,13.28,25.7,19 m -   43 m,0
(2024 AA6),2024-Jan-01 12:30 ± < 00:01,7351471,7319194,7.12,7.12,25.1,25 m -   56 m,0
(2023 YY1),2024-Jan-01 20:09 ± < 00:01,4058907,4049993,6.48,6.46,25.8,19 m -   42 m,0
(2023 YR),2024-Jan-02 03:18 ± < 00:01,1729962,1725516,12.22,12.2,24.9,28 m -   62 m,0
(2024 AQ1),2024-Jan-02 08:59 ± < 00:01,6556679,6516872,15.47,15.47,23.7,48 m -  110 m,0
(2024 AA),2024-Jan-02 16:39 ± < 00:01,610572,609467,21.43,21.4,27.4,8.8 m -   20 m,0
(2019 KK5),2024-Jan-02 21:21 ± < 00:01,3904097,3904065,20.83,20.83,22.8,74 m -  160 m,1
