Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2023 SP2),2023-Sep-10 07:04 ±    00:25,2212982,2183928,4.86,4.82,28.2,6.0 m -   13 m,0
(2023 RF11),2023-Sep-10 07:18 ± < 00:01,1179504,1174910,12.45,12.42,27.5,8.5 m -   19 m,0
(2023 RP2),2023-Sep-10 13:12 ± < 00:01,483401,483197,9.12,9.03,27.2,9.7 m -   22 m,0
(2023 RJ),2023-Sep-10 13:14 ± < 00:01,5416844,5389091,20.14,20.14,24.7,31 m -   69 m,0
(2023 QE8),2023-Sep-10 22:03 ± < 00:01,1522131,1518233,14.46,14.44,24,42 m -   94 m,1
(2023 QF6),2023-Sep-10 23:21 ±    20:56,2662383,2585981,10.46,10.45,26.1,16 m -   35 m,0
(2023 RU),2023-Sep-11 15:07 ±    00:02,4062489,4019839,20.26,20.26,25.7,19 m -   43 m,0
(2023 RK),2023-Sep-11 16:56 ± < 00:01,6104337,6070289,9.38,9.37,25.9,17 m -   39 m,0
(2023 RG9),2023-Sep-11 23:53 ± < 00:01,5714758,5675853,5.68,5.67,25.8,19 m -   42 m,0
(2023 SH),2023-Sep-12 05:20 ±    00:04,1791507,1779415,8.46,8.43,27.5,8.3 m -   19 m,0
(2023 RC1),2023-Sep-12 05:55 ± < 00:01,1204334,1201157,5.07,5.01,28.8,4.7 m -   10 m,0
(2020 RT2),2023-Sep-12 06:29 ± 1_07:53,4209910,1929057,10.03,10.02,28.2,6.0 m -   13 m,0
